case_id,category,control,expected_disposition,scored_in_accuracy,required_evidence_grade,repository_path,route,source_location,sink_location,rule_id,reason_code
go-cgo-boundary-unsupported,GO-CGO-BOUNDARY,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
go-goroutine-leak-vulnerable,GO-GOROUTINE-LEAK,vulnerable,FINDING,true,RUNTIME_EFFECT,apps/net-http-product,/qualification/go-goroutine-leak/vulnerable,/qualification/go-goroutine-leak/vulnerable,goroutine_lifecycle,IAST.GO.GOROUTINE_LEAK,
go-goroutine-leak-safe,GO-GOROUTINE-LEAK,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/go-goroutine-leak/safe,/qualification/go-goroutine-leak/safe,goroutine_lifecycle,,
go-goroutine-leak-unknown,GO-GOROUTINE-LEAK,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/go-goroutine-leak/unknown,/qualification/go-goroutine-leak/unknown,goroutine_lifecycle,,go_go_goroutine_leak_semantic_coordinate_unresolved
go-goroutine-leak-unsupported,GO-GOROUTINE-LEAK,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
go-http-body-limit-vulnerable,GO-HTTP-BODY-LIMIT,vulnerable,FINDING,true,RUNTIME_PROPERTY,apps/net-http-product,/qualification/go-http-body-limit/vulnerable,/qualification/go-http-body-limit/vulnerable,http_body,IAST.GO.HTTP_BODY_LIMIT,
go-http-body-limit-safe,GO-HTTP-BODY-LIMIT,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/go-http-body-limit/safe,/qualification/go-http-body-limit/safe,http_body,,
go-http-body-limit-unknown,GO-HTTP-BODY-LIMIT,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/go-http-body-limit/unknown,/qualification/go-http-body-limit/unknown,http_body,,go_go_http_body_limit_semantic_coordinate_unresolved
go-http-body-limit-unsupported,GO-HTTP-BODY-LIMIT,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
go-map-concurrent-access-vulnerable,GO-MAP-CONCURRENT-ACCESS,vulnerable,FINDING,true,RUNTIME_DIFFERENTIAL,apps/net-http-product,/qualification/go-map-concurrent-access/vulnerable,/qualification/go-map-concurrent-access/vulnerable,map_concurrency,IAST.GO.MAP_CONCURRENT_ACCESS,
go-map-concurrent-access-safe,GO-MAP-CONCURRENT-ACCESS,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/go-map-concurrent-access/safe,/qualification/go-map-concurrent-access/safe,map_concurrency,,
go-map-concurrent-access-unknown,GO-MAP-CONCURRENT-ACCESS,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/go-map-concurrent-access/unknown,/qualification/go-map-concurrent-access/unknown,map_concurrency,,go_go_map_concurrent_access_semantic_coordinate_unresolved
go-map-concurrent-access-unsupported,GO-MAP-CONCURRENT-ACCESS,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
go-template-context-confusion-vulnerable,GO-TEMPLATE-CONTEXT-CONFUSION,vulnerable,FINDING,true,RUNTIME_SEMANTIC,apps/net-http-product,/qualification/go-template-context-confusion/vulnerable,/qualification/go-template-context-confusion/vulnerable,template_context,IAST.GO.TEMPLATE_CONTEXT_CONFUSION,
go-template-context-confusion-safe,GO-TEMPLATE-CONTEXT-CONFUSION,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/go-template-context-confusion/safe,/qualification/go-template-context-confusion/safe,template_context,,
go-template-context-confusion-unknown,GO-TEMPLATE-CONTEXT-CONFUSION,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/go-template-context-confusion/unknown,/qualification/go-template-context-confusion/unknown,template_context,,go_go_template_context_confusion_semantic_coordinate_unresolved
go-template-context-confusion-unsupported,GO-TEMPLATE-CONTEXT-CONFUSION,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
